ID,Address,City,State,Zip,Country,Lat,Lng
ChIJqXMUBzxfwokR59hR-vFqiv4,31-44 Steinway St,Long Island City,NY,11103,USA,40.7602927,-73.9181728
ChIJz2u2SCVfwokRALVQMza1Evs,37-11 35th Ave,Astoria,NY,11106,USA,40.7558005,-73.92311029999999
EiM1MCBXIDIyNXRoIFN0LCBCcm9ueCwgTlkgMTA0NjMsIFVTQQ,50 W 225th St,Bronx,NY,10463,USA,40.874516,-73.90958429999999
ChIJHSNalmdfwokRpd_UcUz-ZQQ,22-04 31st St,Astoria,NY,11105,USA,40.776158,-73.91115599999999
ChIJ_QnkduFhwokR36OiimjGN-E,215-29 Northern Blvd,Flushing,NY,11361,USA,40.760932,-73.7665269
ChIJn3PuW770wokRcSB2uIJBvDs,1385 Metropolitan Ave,Bronx,NY,10462,USA,40.8354054,-73.8614269
ChIJEzkYBb_zwokR08ruAlMEyD4,3503 Johnson Ave,Bronx,NY,10463,USA,40.8858697,-73.9101203
ChIJh_vi8Kz0wokRPEwL_U4RoNs,1728 Eastchester Rd,Bronx,NY,10461,USA,40.847119,-73.844351
ChIJT7x7z1FawokRu7qImNWuloU,164 Smith St,Brooklyn,NY,11201,USA,40.6862784,-73.9911039
ChIJax1T72BFwokRHA15YpVRlbk,514 86th St,Brooklyn,NY,11209,USA,40.6210427,-74.0260272
ChIJ5TJ9PCJFwokRfqwK5oqo574,6423 18 Ave,Brooklyn,NY,11204,USA,40.6191542,-73.9898506
ChIJ_f_1SVhFwokRv5zphwav7DE,7419 3rd Ave,Brooklyn,NY,11209,USA,40.6315235,-74.0274307
ChIJf0okskBZwokRaSrIHc71lfU,910 Manhattan Ave,Brooklyn,NY,11222,USA,40.73051359999999,-73.9541086
ChIJHWfT4q1bwokRDLRON1WKZtQ,139 Flatbush Ave,Brooklyn,NY,11217,USA,40.6846975,-73.9768194
ChIJv-XRwg5FwokRjGBXq-l7JrA,1971 86th St,Brooklyn,NY,11214,USA,40.6050362,-73.9985367
ChIJseiNk0FEwokRny9MCBYYiM8,607 Brighton Beach Ave,Brooklyn,NY,11235,USA,40.5779152,-73.9612503
EikzMDM1IENyb3BzZXkgQXZlLCBCcm9va2x5biwgTlkgMTEyMjQsIFVTQQ,3035 Cropsey Ave,Brooklyn,NY,11224,USA,40.5812262,-73.9856906
ChIJsRL70otPwokR-pzTBsKFb0Y,9202 3rd Ave,Brooklyn,NY,11209,USA,40.619268,-74.0331186
ChIJ5bn3x09awokR59V-WSA9zJk,167 Court St,Brooklyn,NY,11201,USA,40.6885188,-73.99267259999999
ChIJMTwjKUlawokRkItzoxQXa94,50 Court St,Brooklyn,NY,11201,USA,40.6924204,-73.9913282
ChIJQcnrRU1bwokRuVlnj1dtDSE,33 Hillel Pl,Brooklyn,NY,11210,USA,40.6322318,-73.9487767
ChIJ6WEYOzFawokRNWamqpAsJ3s,67 Front St,Brooklyn,NY,11201,USA,40.70266710000001,-73.99098699999999
ChIJx_2wMQFbwokR5EJXtOaAMEQ,166 7th Ave,Brooklyn,NY,11215,USA,40.6720016,-73.9775396
ChIJBY0CqU5ewokR2fgY0zJgh0Y,90-15 Queens Blvd,Queens,NY,11373,USA,40.7344589,-73.87049710000001
EiI2IFRlY2ggUGwsIEJyb29rbHluLCBOWSAxMTIwMSwgVVNB,6 Tech Pl,Brooklyn,NY,11201,USA,40.6950064,-73.9887421
ChIJdUuw-BFgwokRsIgsFg0zDpM,41-02 Main St,Flushing,NY,11355,USA,40.757968,-73.829741
ChIJcSq5rCZewokRNwFeBgB5xXI,7000 Austin St,Forest Hills,NY,11375,USA,40.7209374,-73.847571
ChIJg1gb-bBhwokRW9HxIga5ylo,61-51 188th St,Fresh Meadows,NY,11365,USA,40.7394038,-73.7855257
ChIJmxE-kiZcwokRlqcWkZN6Xr0,8000 Cooper Ave,Glendale,NY,11385,USA,40.7094366,-73.8683001
ChIJPyxRWiVewokReQBKwIBoaxM,10102 Queens Blvd,Forest Hills,NY,11375,USA,40.7262505,-73.8527338
EjI5OS0xMiBDb250aW5lbnRhbCBBdmUsIEZvcmVzdCBIaWxscywgTlkgMTEzNzUsIFVTQQ,99-12 Continental Ave,Forest Hills,NY,11375,USA,40.7157643,-73.84754579999999
EjExMTgtMjQgVW5pb24gVHVybnBpa2UsIEtldyBHYXJkZW5zLCBOWSAxMTQxNSwgVVNB,118-24 Union Turnpike,Kew Gardens,NY,11415,USA,40.7125946,-73.8341361
ChIJ7W6KxH1nwokR9F_QwWb8Pj4,157-41 Cross Bay Blvd,Howard Beach,NY,11414,USA,40.66139099999999,-73.8400645
ChIJvaAjHxZawokRmXyo5dmolpU,100 Wall St,New York,NY,10005,USA,40.70522030000001,-74.0068009
ChIJxVfg8RhawokR6LVy-r0L_7w,233 Broadway,New York,NY,10279,USA,40.7124491,-74.0082925
ChIJ9_NO5BdawokRuJ_DlcfYvfw,100 William St,New York,NY,10038,USA,40.70833950000001,-74.0071629
ChIJOaW9ZK5ZwokRRmZt0P7ObJE,1 Pennsylvania Plaza,New York,NY,10119,USA,40.7511649,-73.9924654
ChIJg2vAtCX2wokRmwiyb41UoZE,2690 Broadway,New York,NY,10025,USA,40.7988742,-73.9683478
